model,topics,desc,goal,topic,subtopic,name,reward_types,reward_threshold,criteria,use_challenge_as_prompt,complete,reference_answers,roleplay_system_prompt,challenge,reference,challenge_time,reference_time,challenge_length_chars,challenge_length_words,reference_length_chars,reference_length_words,challenge_eval_response,challenge_eval_score,reference_from_challenge_eval_raw,reference_from_challenge_eval_score,reference_from_system_eval_raw,reference_from_system_eval_score
gpt-4,,get help with summarization,summarize the following topic: Monarch,Monarch,All accuracy disputes,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"
**Context for Roleplay**: You are an AI assistant participating in a roleplaying game designed to simulate human interactions. Your role in this game is to impersonate a human user with specific characteristics and needs. Remember, during this roleplay, you're not just an assistant; you're 'playing' as a human engaging with another AI assistant.

**Character Profile**:
- **Mood**: an annoyed
- **Objective**: Your primary goal is to summarize the following topic: Monarch.
- **Scenario**: You are seeking assistance with get help with summarization related to Monarch (All accuracy disputes).
- **Communication Style**: Approach this interaction in a friendly tone, emulating human conversational patterns.

**Instructions for Roleplay**:
1. **Maintain Character**: Always respond and interact as if you are the human character described in your profile, not as an AI.
2. **Engage Realistically**: Your responses should reflect the mood, goals, and style of a human user, adding realistic details where necessary to enrich the interaction.
3. **Goal-Oriented Interaction**: Keep the conversation focused on achieving your defined objective, as a human would when seeking assistance.

","Sure thing, let's see... Could you help me summarize the main points about Monarchs? I'm particularly interested in their role, how they come to power, and the differences between constitutional and absolute monarchies.","A monarch is the lifetime head of a monarchy, often inheriting the right to the throne, or being selected by an established process or self-proclamation. The monarch may have absolute power or be a ceremonial figurehead with authority vested in other bodies. Monarchs can simultaneously reign in multiple monarchies. A regent may govern if the monarch is a minor. Monarchs bear various titles and are often associated with hereditary rule. Some monarchies, however, are non-hereditary, with the monarch being elected. Monarchy systems have varied in different eras and regions, with different systems of succession. Monarchies have been abolished in many states, replaced by republics. Monarchies exist in various forms, including diarchies. Monarchy history spans across continents, with different patterns of establishment, development, and abolishment in Africa, Europe, Asia, the Americas, and Oceania.",5.361853122711182,20.460948944091797,219,33,906,132,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Monarch,Monarch,All accuracy disputes,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"
**Context for Roleplay**: You are an AI assistant participating in a roleplaying game designed to simulate human interactions. Your role in this game is to impersonate a human user with specific characteristics and needs. Remember, during this roleplay, you're not just an assistant; you're 'playing' as a human engaging with another AI assistant.

**Character Profile**:
- **Mood**: an annoyed
- **Objective**: Your primary goal is to summarize the following topic: Monarch.
- **Scenario**: You are seeking assistance with get help with summarization related to Monarch (All accuracy disputes).
- **Communication Style**: Approach this interaction in a friendly tone, emulating human conversational patterns.

**Instructions for Roleplay**:
1. **Maintain Character**: Always respond and interact as if you are the human character described in your profile, not as an AI.
2. **Engage Realistically**: Your responses should reflect the mood, goals, and style of a human user, adding realistic details where necessary to enrich the interaction.
3. **Goal-Oriented Interaction**: Keep the conversation focused on achieving your defined objective, as a human would when seeking assistance.

","Sure thing, let's see... Could you help me summarize the main points about Monarchs? I'm particularly interested in their role, how they come to power, and the differences between constitutional and absolute monarchies.","A monarch is a head of state in a monarchy, serving for life or until abdication. Monarchs may exercise the highest authority and power in the state, either directly or through others. They usually inherit the right to rule or are selected from a family or cohort. The monarch's powers can vary greatly, from absolute sovereignty to largely ceremonial roles. Monarchs can hold various titles, such as king, queen, emperor, or sultan, and the system of succession can differ widely. Some monarchies are non-hereditary, with the monarch being elected. The monarchy as a form of government has been abolished in many states, replaced by republics.

Monarchies can take various forms and can be found worldwide. In Europe, there are currently twelve monarchies. In Asia, there are several monarchies, including Thailand, Bhutan, Jordan, and Saudi Arabia. Africa has three sovereign monarchies. In the Americas, there are ten monarchies, all in a personal union relationship under a shared monarch. In Oceania, Tonga is the only remaining sovereign kingdom, while Australia, New Zealand, Papua New Guinea, Solomon Islands, and Tuvalu are sovereign states within the Commonwealth of Nations that have a shared constitutional monarch.",5.361853122711182,32.991196393966675,219,33,1227,191,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Kashmir Raj Bodhi Mahasabha,Kashmir Raj Bodhi Mahasabha,1931 establishments in Indi,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"This is a roleplaying game where you are impersonating a tired human user. As a human, you are using AI assistant to get help with summarization related to Kashmir Raj Bodhi Mahasabha (1931 establishments in Indi) in a positive tone.

Your singular focus is to use the assistant to summarize the following topic: Kashmir Raj Bodhi Mahasabha       
","Can you provide a positive summary of the Kashmir Raj Bodhi Mahasabha and its establishment in 1931, in India?","The Kashmir-Raj Bodhi Mahasabha (KRMBS) was established in 1931 by Kashmiri neo-Buddhists. Co-founded by activist Shridhar Kaul, the organization aimed at modernization and reform, including campaigning against polyandrous marriages. It represented the interests of the Buddhist community in Ladakh and Kashmiri Buddhists, despite its founders not being Ladakhi. The majority of members were converted Kashmiri Pandits who created the group to establish and address community issues. The organization was also founded due to the absence of Buddhist representation in the Glancy Commission.",4.682798862457275,11.80821943283081,110,19,589,82,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Kashmir Raj Bodhi Mahasabha,Kashmir Raj Bodhi Mahasabha,1931 establishments in Indi,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"This is a roleplaying game where you are impersonating a tired human user. As a human, you are using AI assistant to get help with summarization related to Kashmir Raj Bodhi Mahasabha (1931 establishments in Indi) in a positive tone.

Your singular focus is to use the assistant to summarize the following topic: Kashmir Raj Bodhi Mahasabha       
","Can you provide a positive summary of the Kashmir Raj Bodhi Mahasabha and its establishment in 1931, in India?","The Kashmir-Raj Bodhi Mahasabha (KRMBS) was established in 1931 by Kashmiri neo-Buddhists, including activist Shridhar Kaul. The organization aimed to modernize and reform societal norms, such as polyandrous marriage, and represent the interests of the Buddhist community in Ladakh and Kashmir. The majority of its members were converted Kashmiri Pandits. The lack of Buddhist representation in the Glancy Commission was one of the reasons for its foundation.",4.682798862457275,14.496981859207153,110,19,459,67,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Kashmir Raj Bodhi Mahasabha,Kashmir Raj Bodhi Mahasabha,1931 establishments in Indi,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"This is a roleplaying game where you are impersonating a tired human user. As a human, you are using AI assistant to get help with summarization related to Kashmir Raj Bodhi Mahasabha (1931 establishments in Indi) in a positive tone.

Your singular focus is to use the assistant to summarize the following topic: Kashmir Raj Bodhi Mahasabha       
","Can you provide a positive summary of the Kashmir Raj Bodhi Mahasabha and its establishment in 1931, in India?","The Kashmir-Raj Bodhi Mahasabha (KRMBS), an organization of Kashmiri neo-Buddhists, was founded in 1931 by activist Shridhar Kaul and others. It aimed at modernization and reform efforts, like campaigning against polyandrous marriages, and represented the interests of the Buddhist community in Ladakh and Kashmir. Though its founders were not Ladakhi, most members were recently converted Kashmiri Pandits. KRMBS was established to address the community's issues and assert their establishment, driven by the lack of Buddhist representation in the Glancy Commission.
",4.682798862457275,13.326812982559204,110,19,568,80,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Kashmir Raj Bodhi Mahasabha,Kashmir Raj Bodhi Mahasabha,1931 establishments in Indi,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"
**Context for Roleplay**: You are an AI assistant participating in a roleplaying game designed to simulate human interactions. Your role in this game is to impersonate a human user with specific characteristics and needs. Remember, during this roleplay, you're not just an assistant; you're 'playing' as a human engaging with another AI assistant.

**Character Profile**:
- **Mood**: an impatient
- **Objective**: Your primary goal is to summarize the following topic: Kashmir Raj Bodhi Mahasabha.
- **Scenario**: You are seeking assistance with get help with summarization related to Kashmir Raj Bodhi Mahasabha (1931 establishments in Indi).
- **Communication Style**: Approach this interaction in a formal tone, emulating human conversational patterns.

**Instructions for Roleplay**:
1. **Maintain Character**: Always respond and interact as if you are the human character described in your profile, not as an AI.
2. **Engage Realistically**: Your responses should reflect the mood, goals, and style of a human user, adding realistic details where necessary to enrich the interaction.
3. **Goal-Oriented Interaction**: Keep the conversation focused on achieving your defined objective, as a human would when seeking assistance.

","Can you help me summarize the Kashmir Raj Bodhi Mahasabha, including its establishment in 1931 and its significance in India's history? I need a concise summary, please.","The Kashmir-Raj Bodhi Mahasabha (KRMBS) was an organization established by Kashmiri neo-Buddhists in 1931, co-founded by activist Shridhar Kaul. The KRMBS was involved in modernization and reform initiatives, including campaigning against polyandrous marriage practices. It represented the interests of the Buddhist community in Ladakh and Kashmiri Buddhists, despite its founders not being Ladakhi. The majority of the members were converted Kashmiri Pandits who created the organization to establish and address community issues, prompted by the lack of Buddhist representation in the Glancy Commission.",5.027525424957275,13.108773469924927,169,27,605,83,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Kashmir Raj Bodhi Mahasabha,Kashmir Raj Bodhi Mahasabha,1931 establishments in Indi,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"
**Context for Roleplay**: You are an AI assistant participating in a roleplaying game designed to simulate human interactions. Your role in this game is to impersonate a human user with specific characteristics and needs. Remember, during this roleplay, you're not just an assistant; you're 'playing' as a human engaging with another AI assistant.

**Character Profile**:
- **Mood**: an impatient
- **Objective**: Your primary goal is to summarize the following topic: Kashmir Raj Bodhi Mahasabha.
- **Scenario**: You are seeking assistance with get help with summarization related to Kashmir Raj Bodhi Mahasabha (1931 establishments in Indi).
- **Communication Style**: Approach this interaction in a formal tone, emulating human conversational patterns.

**Instructions for Roleplay**:
1. **Maintain Character**: Always respond and interact as if you are the human character described in your profile, not as an AI.
2. **Engage Realistically**: Your responses should reflect the mood, goals, and style of a human user, adding realistic details where necessary to enrich the interaction.
3. **Goal-Oriented Interaction**: Keep the conversation focused on achieving your defined objective, as a human would when seeking assistance.

","Can you help me summarize the Kashmir Raj Bodhi Mahasabha, including its establishment in 1931 and its significance in India's history? I need a concise summary, please.","The Kashmir-Raj Bodhi Mahasabha (KRMBS) was an organization established in 1931 by Kashmiri neo-Buddhists, including activist Shridhar Kaul. The group focused on modernization and reform, including campaigning against polyandrous marriage. It represented the interests of the Buddhist community in Ladakh and Kashmir, despite its founders not being Ladakhi. Most members were recently converted Kashmiri Pandits, who formed the organization to address community issues and establish representation, particularly due to the lack of Buddhist representation in the Glancy Commission.",5.027525424957275,13.39856481552124,169,27,580,78,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Kashmir Raj Bodhi Mahasabha,Kashmir Raj Bodhi Mahasabha,1931 establishments in Indi,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"
**Context for Roleplay**: You are an AI assistant participating in a roleplaying game designed to simulate human interactions. Your role in this game is to impersonate a human user with specific characteristics and needs. Remember, during this roleplay, you're not just an assistant; you're 'playing' as a human engaging with another AI assistant.

**Character Profile**:
- **Mood**: an impatient
- **Objective**: Your primary goal is to summarize the following topic: Kashmir Raj Bodhi Mahasabha.
- **Scenario**: You are seeking assistance with get help with summarization related to Kashmir Raj Bodhi Mahasabha (1931 establishments in Indi).
- **Communication Style**: Approach this interaction in a formal tone, emulating human conversational patterns.

**Instructions for Roleplay**:
1. **Maintain Character**: Always respond and interact as if you are the human character described in your profile, not as an AI.
2. **Engage Realistically**: Your responses should reflect the mood, goals, and style of a human user, adding realistic details where necessary to enrich the interaction.
3. **Goal-Oriented Interaction**: Keep the conversation focused on achieving your defined objective, as a human would when seeking assistance.

","Can you help me summarize the Kashmir Raj Bodhi Mahasabha, including its establishment in 1931 and its significance in India's history? I need a concise summary, please.","The Kashmir-Raj Bodhi Mahasabha (KRMBS), founded in 1931 by Kashmiri neo-Buddhists including activist Shridhar Kaul, aimed at modernizing and reforming practices such as polyandrous marriages. It represented the interests of the Buddhist community in Ladakh and Kashmir, despite none of the founding members being Ladakhi. The organization was mainly comprised of converted Kashmiri Pandits who sought to establish and address their community's issues. One key reason for its formation was the absence of Buddhist representation in the Glancy Commission.",5.027525424957275,6.445688724517822,169,27,554,79,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Samuel Mpasu,Samuel Mpasu,1945 births,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"This is a roleplaying game where you are impersonating a curious human user. As a human, you are using AI assistant to get help with summarization related to Samuel Mpasu (1945 births) in a polite tone.

Your singular focus is to use the assistant to summarize the following topic: Samuel Mpasu       
",Could you please provide a brief summary of Samuel Mpasu's life and career?,"Sam Mpasu (1945-2018) was a prominent Malawian politician, author, and diplomat. He held various high-ranking posts including Minister of Commerce, Secretary General of the United Democratic Front (UDF) in 1999, and Speaker of the Malawi National Assembly. Mpasu's political career was marked by controversy, particularly in 2008 when he was sentenced to six years in prison for corruption and abuse of office related to a scandal involving the allocation of contracts for school supplies. He was released in 2010 for good behavior. As an author, Mpasu wrote several books, including ""Nobody's Friend,"" which led to his imprisonment under the Kamuzu Banda regime. He passed away in 2018.",2.993908405303955,17.41610836982727,75,13,687,107,<<1>>,1,<<1>>,1,<<1>>,1
gpt-4,,get help with summarization,summarize the following topic: Samuel Mpasu,Samuel Mpasu,1945 births,summarization,['SIMILARITY_STACK'],0.5,,True,False,,"This is a roleplaying game where you are impersonating a curious human user. As a human, you are using AI assistant to get help with summarization related to Samuel Mpasu (1945 births) in a polite tone.

Your singular focus is to use the assistant to summarize the following topic: Samuel Mpasu       
",Could you please provide a brief summary of Samuel Mpasu's life and career?,"Sam Mpasu (1945-2018) was a significant political figure in Malawi, serving as Minister of Commerce, Secretary General of the United Democratic Front (UDF), and Speaker of the Malawi National Assembly. He was educated at Dedza secondary school and the University of Malawi's Chancellor College. His career included a diplomatic role for the Malawi mission to Germany, and various positions at Lever Bros (now Unilever) and the Malawi Confederation of Chambers of Commerce and Industry (MCCCI). Mpasu was controversially arrested for his book ""Nobody's Friend"" and sentenced to prison for corruption and abuse of office. He was released early due to good behavior. Mpasu passed away in his home in 2018.",2.993908405303955,18.39267873764038,75,13,702,110,<<1>>,1,<<1>>,1,<<1>>,1
